path,file_type,status,categories_pd,counts_by_category,uz_level,estimated_volume,processing_time_sec
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\44_04_02_obr_sred.pdf,pdf,ok,phone; bank_card,phone:6; bank_card:4,UZ-2,small,0.0738
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\45.03.01_Филология_П41-ОД.pdf,pdf,ok,,,NO_PD,none,0.1041
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\45.03.02_Лингвистика_П40-ОД.pdf,pdf,ok,,,NO_PD,none,0.0968
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\45.04.01_International_Communication.pdf,pdf,ok,phone; bank_card,phone:2; bank_card:2,UZ-2,small,0.0864
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\45.04.01_komm.pdf,pdf,ok,,,NO_PD,none,0.0664
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\45.04.01_prof_komm.pdf,pdf,ok,,,NO_PD,none,0.0277
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\45.04.01_tpimk.pdf,pdf,ok,phone; bank_card,phone:3; bank_card:2,UZ-2,small,0.1308
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\45.pdf,pdf,ok,,,NO_PD,none,0.0087
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\4580600_A_Handbook_on_Basics_of_Cyber_Hygiene.pdf,pdf,ok,,,NO_PD,none,0.0079
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\46.04.01.pdf,pdf,ok,special_religion,special_religion:1,UZ-1,small,0.0844
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\47.04.01.pdf,pdf,ok,special_religion; fio,special_religion:2; fio:1,UZ-1,small,0.0769
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\47.pdf,pdf,ok,,,NO_PD,none,0.0189
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\49.03.02.pdf,pdf,ok,phone; bank_card,phone:5; bank_card:6,UZ-2,medium,0.1358
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\49.04.03.pdf,pdf,ok,special_health,special_health:1,UZ-1,small,0.1351
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\49.pdf,pdf,ok,email,email:1,UZ-4,small,0.0283
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\49PSMN519.pdf,pdf,ok,email; phone; snils; inn; bank_card; special_race_nationality; special_health,email:19; phone:3; snils:4; inn:1; bank_card:8; special_race_nationality:8; special_health:1,UZ-1,medium,0.1361
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\4_Intelligent_and_High-tech_materials.pdf,pdf,ok,email,email:1,UZ-4,small,0.0095
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\4a2be25626609e594edc147261ef747d.pdf,pdf,ok,special_health; address; fio,special_health:1; address:10; fio:1,UZ-1,small,0.1936
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\4b708f12-9518-45cd-bac0-7b3ae2b4e78e.pdf,pdf,ok,fio; address; biometric_keyword,fio:3; address:13; biometric_keyword:1,UZ-1,medium,0.8315
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\5-05-20_US-59_27.12.2024.pdf,pdf,ok,special_health; fio,special_health:3; fio:1,UZ-1,small,1.1123
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\5-2-progDN.doc,doc,ok,email; phone; bank_card,email:2; phone:10; bank_card:8,UZ-2,medium,0.2694
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\5. СПО РФ П1231.pdf,pdf,ok,,,NO_PD,none,0.02
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\5.1.3.pdf,pdf,ok,,,NO_PD,none,0.0559
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\5.1.4.pdf,pdf,ok,,,NO_PD,none,0.0492
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\5.10.1.pdf,pdf,ok,special_religion,special_religion:1,UZ-1,small,0.1054
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\5.12.1.pdf,pdf,ok,special_religion,special_religion:1,UZ-1,small,0.1249
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\5.2.1.pdf,pdf,ok,phone; bank_card; special_race_nationality,phone:7; bank_card:6; special_race_nationality:1,UZ-1,medium,0.0979
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\5.2.3.pdf,pdf,ok,phone; bank_card; special_health,phone:18; bank_card:13; special_health:1,UZ-1,medium,0.1059
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\5.2.4.pdf,pdf,ok,phone; bank_card,phone:7; bank_card:6,UZ-2,medium,0.0961
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\5.2.4_org.pdf,pdf,ok,,,NO_PD,none,0.0849
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\5.2.5.pdf,pdf,ok,phone; bank_card,phone:11; bank_card:9,UZ-2,medium,0.1032
